No,Branch_Code,Original_Name,Name,Name2,Generation,Type1,Type2,Ability1,Ability2,Ability_Hidden,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,image_url
1,1_0,Bulbasaur,Bulbasaur,,1,Grass,Poison,Overgrow,,Chlorophyll,Ordinary,,,45,49,49,65,65,45,318,https://img.pokemondb.net/artwork/large/bulbasaur.jpg
2,2_0,Ivysaur,Ivysaur,,1,Grass,Poison,Overgrow,,Chlorophyll,Ordinary,,,60,62,63,80,80,60,405,https://img.pokemondb.net/artwork/large/ivysaur.jpg
3,3_0,Venusaur,Venusaur,,1,Grass,Poison,Overgrow,,Chlorophyll,Ordinary,,,80,82,83,100,100,80,525,https://img.pokemondb.net/artwork/large/venusaur.jpg
3,3_1,Venusaur,Mega Venusaur,Venusaur-Mega,6,Grass,Poison,Thick Fat,,,Ordinary,Mega,,80,100,123,122,120,80,625,https://img.pokemondb.net/artwork/large/mega-venusaur.jpg
4,4_0,Charmander,Charmander,,1,Fire,,Blaze,,Solar Power,Ordinary,,,39,52,43,60,50,65,309,https://img.pokemondb.net/artwork/large/charmander.jpg
5,5_0,Charmeleon,Charmeleon,,1,Fire,,Blaze,,Solar Power,Ordinary,,,58,64,58,80,65,80,405,https://img.pokemondb.net/artwork/large/charmeleon.jpg
6,6_0,Charizard,Charizard,,1,Fire,Flying,Blaze,,Solar Power,Ordinary,,,78,84,78,109,85,100,534,https://img.pokemondb.net/artwork/large/charizard.jpg
6,6_1,Charizard,Mega Charizard X,Charizard-Mega-X,6,Fire,Dragon,Tough Claws,,,Ordinary,Mega,,78,130,111,130,85,100,634,https://img.pokemondb.net/artwork/large/mega-charizard-x.jpg
6,6_2,Charizard,Mega Charizard Y,Charizard-Mega-Y,6,Fire,Flying,Drought,,,Ordinary,Mega,,78,104,78,159,115,100,634,https://img.pokemondb.net/artwork/large/mega-charizard-y.jpg
7,7_0,Squirtle,Squirtle,,1,Water,,Torrent,,Rain Dish,Ordinary,,,44,48,65,50,64,43,314,https://img.pokemondb.net/artwork/large/squirtle.jpg
8,8_0,Wartortle,Wartortle,,1,Water,,Torrent,,Rain Dish,Ordinary,,,59,63,80,65,80,58,405,https://img.pokemondb.net/artwork/large/wartortle.jpg
9,9_0,Blastoise,Blastoise,,1,Water,,Torrent,,Rain Dish,Ordinary,,,79,83,100,85,105,78,530,https://img.pokemondb.net/artwork/large/blastoise.jpg
9,9_1,Blastoise,Mega Blastoise,Blastoise-Mega,6,Water,,Mega Launcher,,,Ordinary,Mega,,79,103,120,135,115,78,630,https://img.pokemondb.net/artwork/large/mega-blastoise.jpg
10,10_0,Caterpie,Caterpie,,1,Bug,,Shield Dust,,Run Away,Ordinary,,,45,30,35,20,20,45,195,https://img.pokemondb.net/artwork/large/caterpie.jpg
11,11_0,Metapod,Metapod,,1,Bug,,Shed Skin,,,Ordinary,,,50,20,55,25,25,30,205,https://img.pokemondb.net/artwork/large/metapod.jpg
12,12_0,Butterfree,Butterfree,,1,Bug,Flying,Compound Eyes,,Tinted Lens,Ordinary,,,60,45,50,90,80,70,395,https://img.pokemondb.net/artwork/large/butterfree.jpg
13,13_0,Weedle,Weedle,,1,Bug,Poison,Shield Dust,,Run Away,Ordinary,,,40,35,30,20,20,50,195,https://img.pokemondb.net/artwork/large/weedle.jpg
